Sendung,Datum,Titel,Name,Profession,Nationalität,Perspektive_Identität,Geschlecht
Markus Lanz,18.10.23,NA ,Kristin Helberg,Medien,deutsch,deutsch,Frau
Markus Lanz,30.11.23,NA,Kristin Hellberg,Medien,deutsch,deutsch,Frau
Markus Lanz,09.11.23,NA,Kubilay Dertli,Zivilgesellschaft,deutsch,türkisch,Mann
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Lars Klingbeil,Politik,deutsch,deutsch,Mann
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Malu Dreyer,Politik,deutsch,deutsch,Frau
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Margot Friedländer,Zivilgesellschaft,deutsch,jüdisch,Frau
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Margot Friedländer,Zivilgesellschaft,amerikanisch,jüdisch,Frau
Markus Lanz,19.10.23,NA ,Marie-Agnes Strack-Zimmermann,Politik,deutsch,deutsch,Frau
Markus Lanz,16.11.23,NA,Mehmet Can,Zivilgesellschaft,deutsch,türkisch,Mann
Markus Lanz,17.10.23,NA ,Melanie Amann,Medien,deutsch,deutsch,Frau
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Melody Sucharevicz,Zivilgesellschaft,deutsch,jüdisch,Frau
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Melody Sucharevicz,Zivilgesellschaft,israelisch,jüdisch,Frau
Markus Lanz,10.10.23,NA ,Melody Sucharevicz,Zivilgesellschaft,deutsch,jüdisch,Frau
Markus Lanz,10.10.23,NA ,Melody Sucharevicz,Zivilgesellschaft,israelisch,jüdisch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Meron Mendel,Zivilgesellschaft,deutsch,jüdisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Meron Mendel,Zivilgesellschaft,israelisch,jüdisch,Mann
Markus Lanz,18.10.23,NA ,Michael Bewerunge,Medien,deutsch,deutsch,Mann
Markus Lanz,11.10.23,NA ,Michael Roth,Politik,deutsch,deutsch,Mann
Markus Lanz,14.11.23,NA,Michael Roth,Politik,deutsch,deutsch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Michael Wolffson,Medien,deutsch,jüdisch,Mann
Anne Will,15.10.23,Nach dem Terror-Angriff auf Israel – Droht ein Flächenbrand in Nahost?,Michael Wolffson,Medien,israelisch,jüdisch,Mann
Markus Lanz,31.10.23,NA ,Michael Wolffson,Medien,israelisch,jüdisch,Mann
Markus Lanz,31.10.23,NA ,Michael Wolffson,Medien,deutsch,jüdisch,Mann
Markus Lanz,28.11.23,NA,Nils Thal,Zivilgesellschaft,deutsch,deutsch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Norbert Röttgen,Politik,deutsch,deutsch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Omid Nouripour,Politik,deutsch,iranisch,Mann
Anne Will,12.11.23,Terror und Krieg in Nahost – Wie kann das enden?,Omid Nouripour,Politik,deutsch,iranisch,Mann
Markus Lanz,07.11.23,NA,Omid Nouripour,Politik,deutsch,iranisch,Mann
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Peter Neumann,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,09.11.23,NA,Petra Pinzler,Medien,deutsch,deutsch,Frau
Markus Lanz,09.11.23,NA,Philipp Peyman Engel,Medien,deutsch,jüdisch,Mann
Markus Lanz,09.11.23,NA,Philipp Peyman Engel,Medien,deutsch,iranisch,Mann
Anne Will,03.12.23,Die Welt in Unordnung – Ist Deutschland den Herausforderungen gewachsen?,Raphael Gross,Wissenschaft,schweizerisch,schweizerisch,Mann
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Ricarda Land,Politik,deutsch,deutsch,Frau
Markus Lanz,14.11.23,NA,Rieke Havertz,Medien,deutsch,deutsch,Frau
Anne Will,03.12.23,Die Welt in Unordnung – Ist Deutschland den Herausforderungen gewachsen?,Robert Habeck,Politik,deutsch,deutsch,Mann
Markus Lanz,01.11.23,NA ,Robert Habeck,Politik,deutsch,deutsch,Mann
Markus Lanz,18.10.23,NA ,Roderich Kiesewetter,Politik,deutsch,deutsch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Ron Prosor,Politik,israelisch,jüdisch,Mann
Markus Lanz,15.11.23,NA,Serap Güler,Politik,deutsch,türkisch,Frau
Maybrit Illner,19.10.23,"Hamas zerstören, Zivilisten schützen – Flächenbrand vermeidbar? ",Shahrzad Eden Osterer,Medien,deutsch,iranisch,Frau
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Sina Arnold,Wissenschaft,deutsch,deutsch,Frau
Markus Lanz,19.10.23,NA ,Sönke Neitzel,Wissenschaft,deutsch,deutsch,Mann
Markus Lanz,14.11.23,NA,Sophie Maier,Medien,deutsch,deutsch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Souad Mekhennet,Medien,deutsch,türkisch,Frau
Maybrit Illner,12.10.23,Terror-Angriff auf Israel – uneingeschränkte Solidarität? ,Souad Mekhennet,Medien,deutsch,marokkanisch,Frau
Maybrit Illner,16.11.23,Krieg in Nahost – immer mehr Judenhass in Deutschland?,Stephan Kramer,Zivilgesellschaft,deutsch,jüdisch,Mann
Markus Lanz,29.11.23,NA,Tuğba Tekkal,Zivilgesellschaft,deusch,jesidisch,Frau
Markus Lanz,6.11.23,NA,Ulrike Herrmann,Medien,deutsch,deutsch,Frau
Markus Lanz,15.11.23,NA,Uwe Dziuballa,Zivilgesellschaft,deutsch,jüdisch,Mann
Maybrit Illner,02.11.23,Ukraine und Israel – zwei gefährliche Kriege für die Welt? ,Wolfgang Ischinger,Zivilgesellschaft,deutsch,deutsch,Mann
Anne Will,22.10.23,Neuer Krieg in Nahost – Gibt es noch einen Ausweg?,Yassin Musharbash,Medien,deutsch,jordanisch,Mann
Markus Lanz,15.11.23,NA,Yazan Abo Rahmie,Zivilgesellschaft,deutsch,palästinensisch,Mann
